Strain ID,Soil sample name,Country of origin,Color of colony,Colony morphology,WT halo against AB?,WT halo against E. coli?,Frozen on:,Sent through co-ALE?,Sequenced?,Antibiotic susceptibility info?,Bioactive cmpd identified?,Comments,Strain,Description of soil sample,Location,GPS coordinates,Date of collection,Collected by:,Media for Isolation,Soil meta Comments
NBC 01166,Anholt2,Denmark,white / gray,flat,reduced ZOI,No,7/20/2020,,Yes,,,,NBC 01166,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01167,Anholt2,Denmark,yellow / white / gray,bumpy / fuzzy,No,No,7/20/2020,,Yes,,,,NBC 01167,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01168,Anholt2,Denmark,yellow / white / gray,bumpy,No,No,7/20/2020,,Yes,,,,NBC 01168,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01169,Anholt6,Denmark,white / gray,bumpy,reduced ZOI,reduced ZOI,7/31/2020,Yes,,,,,NBC 01169,6. soil under Juniperus communis,"Nordbjerg, Anholt",56.711978   11.540542,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01170,Anholt9,Denmark,yellow / white / gray,small bumps,No,reduced ZOI,7/20/2020,,Yes,,,,NBC 01170,9. soil under Rosa rugosa,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01171,Anholt10,Denmark,yellow / white / gray,fuzzy,No,No,7/20/2020,,Yes,,,,NBC 01171,10. soil under Ammophila arenaria,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01172,Givskud,Denmark,white / gray,fuzzy,No,10 mm,7/27/2020,,,,,,NBC 01172,Field of grass / brush,Givskud,"55° 48' 29"" N   9° 22' 11"" E",2020-07-01,Charlotte Beck, ISP4 & MS,
NBC 01173,Anholt10,Denmark,"green base, white/gray aerial mycelia",small bumps,No,No,7/27/2020,,,,,Likely a duplicate.  I've seen this phenotype before.,NBC 01173,10. soil under Ammophila arenaria,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01174,Anholt10,Denmark,white / gray / green,bumpy,No,No,7/20/2020,,Yes,,,,NBC 01174,10. soil under Ammophila arenaria,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01175,Anholt2,Denmark,"yellow outer ring, white/gray center",fuzzy / wrinkly,reduced ZOI,No,7/20/2020,Yes,Yes,,,,NBC 01175,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01176,Anholt9,Denmark,"brown base, white / gray aerial mycelia",folding,No,No,7/20/2020,,Yes,,,,NBC 01176,9. soil under Rosa rugosa,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01177,Anholt10,Denmark,white / gray,bumpy,No,No,7/27/2020,,Yes,,,,NBC 01177,10. soil under Ammophila arenaria,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01178,Anholt10,Denmark,gray / white,wrinkly edge / fuzzy filling,No,No,7/27/2020,,Yes,,,"Possible duplicate of NBC 01168, but not entirely sure.  Early morphology is different between the two",NBC 01178,10. soil under Ammophila arenaria,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01179,Anholt10,Denmark,brown,flat,No,reduced ZOI,7/31/2020,,,,,"01179 and 01180 are likely duplicates.  I think we might have duplicates of this strain throughout the collection too, although I don't know which ones.",NBC 01179,10. soil under Ammophila arenaria,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01180,Anholt10,Denmark,brown,flat,No,reduced ZOI,7/31/2020,,Yes,,,,NBC 01180,10. soil under Ammophila arenaria,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01181,Givskud,Denmark,tan / white,bumpy,No,reduced ZOI,8/3/2020,,,,,,NBC 01181,Field of grass / brush,Givskud,"55° 48' 29"" N   9° 22' 11"" E",2020-07-01,Charlotte Beck, ISP4 & MS,
NBC 01182,Anholt9,Denmark,light tan,bumpy,No,unsure,7/31/2020,,,,,,NBC 01182,9. soil under Rosa rugosa,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01183,Anholt2,Denmark,reddish brown base/ white gray aerial mycelia,bumpy,No,No,8/3/2020,,Yes,,,,NBC 01183,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01184,Anholt2,Denmark,grayish white,large bumps / fuzzy,No,No,7/31/2020,,Yes,,,,NBC 01184,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01185,Anholt2,Denmark,light tan,large folds,No,No,7/31/2020,,Yes,,,,NBC 01185,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01186,Anholt2,Denmark,light tan / yellow,wrinkly,No,No,7/31/2020,,Yes,,,,NBC 01186,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
