Strain ID,Soil sample name,Country of origin,Color of colony,Colony morphology,WT halo against AB?,WT halo against E. coli?,Frozen on:,Sent through co-ALE?,Sequenced?,Antibiotic susceptibility info?,Bioactive cmpd identified?,Comments,Strain,Description of soil sample,Location,GPS coordinates,Date of collection,Collected by:,Media for Isolation,Soil meta Comments
NBC 00001,Jernbanevej,Denmark,white,wrinkly,No,No,,,,,,,NBC 00001,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00002,Jernbanevej,Denmark,white,wrinkly,reduced ZOI,reduzed ZOI,,Yes,Yes,,,,NBC 00002,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00003,Lyngby lake,Denmark,white/brown,wrinkly,No,No,10/17/2016,,Yes,,,,NBC 00003,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00005,Lyngby lake,Denmark,"black base, white aerial mycelia",bumpy,No,No,10/17/2016,,Yes,,,,NBC 00005,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00006,Lyngby lake,Denmark,beige/cream,wrinkly,No,No,10/17/2016,Yes,,,,,NBC 00006,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00007,Lyngby lake,Denmark,beige/cream,bumpy,No,No,10/17/2016,Yes,,,,,NBC 00007,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00008,Lyngby lake,Denmark,,,No,No,10/23/2016,,Yes,,,,NBC 00008,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00009,Lyngby lake,Denmark,beige & white,wrinkly,No,No,10/23/2016,,,,,"Slow grower, but definitely evolve this one",NBC 00009,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00010,Lyngby lake,Denmark,,,,,,,,,,,NBC 00010,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00011,Lyngby lake,Denmark,,,,,,,,,,,NBC 00011,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00012,Fresh air,Denmark,white/gray,flat/smooth,No,No,10/17/2016,Yes,,,,Fast grower.  Morphology is very similar to that of S. venezuelae,NBC 00012,Bench next to CFB building in Hørsholm,Hørsholm / CFB,,2016-08-26,Pep Charusanti,,
NBC 00013,DTU rich hill,Denmark,"orange base, white gray aerial mycelia",flat/smooth,No,No,10/17/2016,,,,,,NBC 00013,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00014,DTU rich hill,Denmark,"white, with small pinkish dots",bumpy,No,Yes,10/17/2016,Yes,,,,,NBC 00014,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00015,DTU rich hill,Denmark,white,small bumps,reduced ZOI,reduzed ZOI,10/17/2016,Yes,Yes,,,,NBC 00015,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00016,DTU rich hill,Denmark,off-white,mountain-like,No,No,10/17/2016,Yes,,,,,NBC 00016,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00017,DTU rich hill,Denmark,red,bumpy,unsure,unsure,10/17/2016,,,,,,NBC 00017,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00018,DTU rich hill,Denmark,pink,wrinkly,No,1 mm,10/17/2016,,Yes,,,,NBC 00018,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00019,DTU rich hill,Denmark,,,No,No,10/23/2016,,,,,,NBC 00019,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00020,DTU rich hill,Denmark,,,,,10/17/2016,,,,,,NBC 00020,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00021,DTU rich hill,Denmark,,,,,10/17/2016,,,,,,NBC 00021,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00022,Christiania little pot,Denmark,yellow,wrinkly,No,No,10/17/2016,,,,,,NBC 00022,"Christiania, soil collected between a pot plant and a chili plant, both growing in a window planter box",Copenhagen,"55° 40' 24"" N   12° 36' 3"" E",2016-09-02,Pep Charusanti,,
NBC 00023,Christiania little pot,Denmark,yellow/orange,wrinkly,No,No,10/17/2016,,,,,,NBC 00023,"Christiania, soil collected between a pot plant and a chili plant, both growing in a window planter box",Copenhagen,"55° 40' 24"" N   12° 36' 3"" E",2016-09-02,Pep Charusanti,,
NBC 00024,Christiania big pot,Denmark,"yellow outer ring, white center",mountain-like,15 mm,15 mm,10/17/2016,,Yes,,Yes,"Does not sporulate on SM media using 1:3 tap:DI water after 5 days at 30C.  Sensitive to kan, thio, hyg, apra",NBC 00024,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00025,Christiania big pot,Denmark,bright yellow,wrinkly,reduced ZOI,No,10/17/2016,Yes,,,,,NBC 00025,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00026,Christiania big pot,Denmark,"bright red base, white mycelia",wrinkly,No,No,10/17/2016,,,,,,NBC 00026,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00027,Joao garden,Portugal,black/brown,wrinkly,2 mm halo,15 mm,10/17/2016,,Yes,,,,NBC 00027,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00028,Joao garden,Portugal,"yellow base, white aerial mycelia",bumpy,No,No,10/17/2016,,,,,,NBC 00028,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00029,Buhl 2016,Germany,white,small bumps,reduced ZOI,No,10/17/2016,,Yes,,,,NBC 00029,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00030,Holte station,Denmark,orange,wrinkly,No,No,10/17/2016,,,,,,NBC 00030,Flower bed just outside train/bus staion,Holte,"55 48' 27"" N,  12 28' 29"" E",2016-07-25,Pep Charusanti,,
NBC 00031,Holte station,Denmark,,,,,10/17/2016,,,,,,NBC 00031,Flower bed just outside train/bus staion,Holte,"55 48' 27"" N,  12 28' 29"" E",2016-07-25,Pep Charusanti,,
NBC 00032,Holte station,Denmark,light red,wrinkly,Yes,Yes,10/17/2016,,,,,,NBC 00032,Flower bed just outside train/bus staion,Holte,"55 48' 27"" N,  12 28' 29"" E",2016-07-25,Pep Charusanti,,
NBC 00033,Jernbanevej,Denmark,,,No,No,10/17/2016,,,,,,NBC 00033,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00034,Jernbanevej,Denmark,,,No,No,10/17/2016,,,,,,NBC 00034,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00035,Jernbanevej,Denmark,,,reduced ZOI,reduced ZOI,10/17/2016,Yes,Yes,,,,NBC 00035,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00036,Jernbanevej,Denmark,,,,,10/17/2016,,,,,,NBC 00036,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00037,Jernbanevej,Denmark,,,No,No,10/17/2016,,,,,,NBC 00037,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00038,Jernbanevej,Denmark,,,reduced ZOI,reduced ZOI,10/17/2016,,Yes,,,,NBC 00038,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00039,Birkd farm,Denmark,,,Yes,No,10/23/2016,,Yes,,,,NBC 00039,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00040,Birkd farm,Denmark,,,reduced ZOI,reduced ZOI,10/23/2016,,Yes,,,,NBC 00040,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00041,Birkd farm,Denmark,,,No,No,10/23/2016,,,,,,NBC 00041,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00042,Birkd farm,Denmark,,,No,No,10/23/2016,,,,,,NBC 00042,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00043,Birkd farm,Denmark,,,Yes,reduced ZOI,10/23/2016,,Yes,,,,NBC 00043,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00044,Birkd farm,Denmark,,,Yes,Yes,10/23/2016,,Yes,,,,NBC 00044,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00045,Birkd farm,Denmark,,,No,No,10/23/2016,,,,,,NBC 00045,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00046,Birkd farm,Denmark,,,No,No,10/23/2016,,,,,,NBC 00046,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00047,Birkd farm,Denmark,,,Yes,20 mm,10/23/2016,,,,Yes,Genome contains pyracrimycin BGC,NBC 00047,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00048,Birkd farm,Denmark,,,No,No,10/23/2016,,,,,,NBC 00048,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00049,Birkd farm,Denmark,,,reduced ZOI,No,10/23/2016,,Yes,,,,NBC 00049,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00050,Deer feeding,Denmark,dark brown,wrinkly,No,No,10/23/2016,,,,,Slow grower,NBC 00050,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00051,Deer feeding,Denmark,brown,mountain-like,No,No,10/23/2016,Yes,,,,Slow grower,NBC 00051,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00052,Deer feeding,Denmark,,,No,No,10/23/2016,,,,,,NBC 00052,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00053,Deer feeding,Denmark,,,No,No,10/23/2016,,,,,,NBC 00053,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00054,Deer feeding,Denmark,,,No,No,10/23/2016,,,,,,NBC 00054,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00055,Deer feeding,Denmark,,,No,No,10/23/2016,,,,,,NBC 00055,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00056,Deer feeding,Denmark,,,No,No,10/23/2016,,,,,,NBC 00056,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00057,Gopher hole,Finland,,,No,No,10/23/2016,,,,,,NBC 00057,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00058,Gopher hole,Finland,,,reduced ZOI,reduced ZOI,10/23/2016,,,,,,NBC 00058,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00059,Gopher hole,Finland,,,,,10/23/2016,,,,,still on plates only,NBC 00059,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00060,Gopher hole,Finland,,,Yes,reduced ZOI,10/23/2016,,,,,,NBC 00060,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00061,Gopher hole,Finland,,,No,No,10/23/2016,,,,,,NBC 00061,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00062,Gopher hole,Finland,,,No,No,10/23/2016,,,,,,NBC 00062,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00063,Gopher hole,Finland,,,No,No,10/23/2016,,,,,These two might be duplicates,NBC 00063,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00064,Gopher hole,Finland,,,No,No,10/23/2016,,,,,,NBC 00064,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00065,Gopher hole,Finland,,,No,No,10/23/2016,,,,,,NBC 00065,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00066,Gopher hole,Finland,,,Yes,reduced ZOI,10/23/2016,,,,,,NBC 00066,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00067,Gopher hole,Finland,,,No,No,10/23/2016,,,,,,NBC 00067,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00068,Gopher hole,Finland,,,Yes,Yes,10/23/2016,,,,,,NBC 00068,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00069,Gopher hole,Finland,,,reduced ZOI,reduced ZOI,10/23/2016,,,,,,NBC 00069,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00070,Gopher hole,Finland,,,No,No,10/23/2016,,,,,,NBC 00070,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00071,Gopher hole,Finland,beige & white,mountain-like,No,No,10/23/2016,,,,,,NBC 00071,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00072,Gopher hole,Finland,,,reduced ZOI,Yes,10/23/2016,,,,,,NBC 00072,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00073,Gopher hole,Finland,,,No,No,10/23/2016,,,,,,NBC 00073,Gopher hole in botanical garden in Helskink,Helsinki,,2016-09,Pep Charusanti,,
NBC 00074,Buhl 2016,Germany,,,,,10/23/2016,,,,,,NBC 00074,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00075,Buhl 2016,Germany,,,No,No,10/23/2016,,,,,,NBC 00075,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00076,Edin botanical garden,Scotland,beige & white,ridges,No,No,10/23/2016,,,,,,NBC 00076,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00077,DTU rich hill,Denmark,,,2 mm,7 mm,10/23/2016,,Yes,,,,NBC 00077,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00078,Colton Hill,Scotland,,,No,No,10/23/2016,,,,,,NBC 00078,Colton Hill,Edinburgh,"55,954368 N, -3,184821 W",2016-08-19,Kai Blin,,
NBC 00079,Birkd farm,Denmark,,,No,No,10/23/2016,,,,,,NBC 00079,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00080,Christiania big pot,Denmark,,,No,No,10/23/2016,,,,,,NBC 00080,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00081,Deer feeding,Denmark,red,small bumps,No,No,,,,,,,NBC 00081,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00082,Colton Hill,Scotland,white / gray,wrinkly,Yes,reduced ZOI,,,,,,These two might be duplicates,NBC 00082,Colton Hill,Edinburgh,"55,954368 N, -3,184821 W",2016-08-19,Kai Blin,,
NBC 00083,Colton Hill,Scotland,white,wrinkly,2 mm,2 mm,,,,,,,NBC 00083,Colton Hill,Edinburgh,"55,954368 N, -3,184821 W",2016-08-19,Kai Blin,,
NBC 00084,Birkd farm,Denmark,beige & white,"flat, small ridges",reduced ZOI,Yes,,,Yes,,,,NBC 00084,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00085,Birkd farm,Denmark,beige/orange,"flat, small ridges",1 mm,No,,Yes,Yes,,,,NBC 00085,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00086,Raspberry,Denmark,brown,flat & wrinkly,2 mm,reduced ZOI,1/24/2017,,Yes,,,,NBC 00086,Raspberry bush on the way to CFB building in Hørsholm,Hørsholm,"55 52' 10"" N,  12 29' 53""  E",2016-07-25,Pep Charusanti,,
NBC 00087,Helsinki cathedral,Finland,"yellow base, white aerial mycelia",bumpy,No,No,,,,,,Definitely evolve this one,NBC 00087,At base of Helsinki cathedral,Helsinki,,2016-09,Pep Charusanti,,
NBC 00088,Helsinki cathedral,Finland,"yellow base, white aerial mycelia",flat/smooth,reduced ZOI,Yes,,,,,,,NBC 00088,At base of Helsinki cathedral,Helsinki,,2016-09,Pep Charusanti,,
NBC 00089,Buhl 2016,Germany,yellow,flat/smooth,No,No,,,,,,,NBC 00089,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00090,Buhl 2016,Germany,beige & white,"fluffy, like snow",1 mm,3 mm,,,Yes,,,,NBC 00090,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00091,Buhl 2016,Germany,black,mountain-like,No,No,,,,,,,NBC 00091,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00092,Buhl 2016,Germany,orange/beige,?,No,No,,,,,,,NBC 00092,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00093,Buhl 2016,Germany,purple / white / brown,ridges,No,No,,,,,,Definitely evolve this one,NBC 00093,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00094,Buhl 2016,Germany,brown,flat & wrinkly,5 mm,5 mm,,,Yes,,,,NBC 00094,,Bühl,"48,485581 N, 8,996785 E",2016-08-26,Kai Blin,,
NBC 00095,Edin botanical garden,Scotland,beige & white,wrinkly,2 mm,5 mm,,,,,,,NBC 00095,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00096,Edin botanical garden,Scotland,tan/white,wrinkly,No,No,,,,,,,NBC 00096,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00097b,Edin botanical garden,Scotland,tan/white,bumpy,unsure,No,1/13/2017,,,,,,NBC 00097b,Botanical gardens,Edinburgh,"55.965505 N,  -3,206583 W",2016-08-19,Kai Blin,,
NBC 00098,Joao garden,Portugal,black w/ white dots,smooth,No,No,,,,,,,NBC 00098,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00099,Joao garden,Portugal,white / gray / pink,bumpy,No,No,,,,,,,NBC 00099,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00100,Joao garden,Portugal,tan/white,wrinkly,reduced ZOI,reduced ZOI,,Yes,,,,,NBC 00100,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00101b,DTU rich hill,Denmark,tan/white,flat,No,No,1/16/2017,Yes,,,,,NBC 00101b,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00102,DTU rich hill,Denmark,yellow,wrinkly,No,No,,,,,,,NBC 00102,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00103,DTU rich hill,Denmark,beige & white,mountain-like,No,No,,,,,,,NBC 00103,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00104,DTU rich hill,Denmark,brown & white,"fluffy, like snow",Yes,Yes,,,Yes,,,,NBC 00104,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00105,DTU rich hill,Denmark,brown,wrinkly,reduced ZOI,No,,Yes,Yes,,,,NBC 00105,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00106,Christiania big pot,Denmark,gray w/ white & black spots,smooth,reduced ZOI,No,,Yes,Yes,,,,NBC 00106,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00107,Christiania big pot,Denmark,red & white,smooth,No,No,,Yes,,,,,NBC 00107,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00108b,Christiania big pot,Denmark,beige & white,ridges,No,No,12/5/2016,Yes,Yes,,,"There are two strains recorded that have the 108b designation.  See the ""duplicates"" sheet.  It could be that the one recorded here is actually 109, and the one marked 109 is actually 110.",NBC 00108b,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00109,Christiania big pot,Denmark,yellow,wrinkly,reduced ZOI,Yes,,,,,,,NBC 00109,"Christiania, directly beneath a large pot plant",Copenhagen,"55° 40' 25"" N   12° 35' 59"" E",2016-09-02,Pep Charusanti,,
NBC 00110,Deer feeding,Denmark,red / brown,bumpy,No,No,12/9/2016,,,,,Duplicate.  Mr. everywhere,NBC 00110,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00111,Deer feeding,Denmark,tan/white,wrinkly,No,No,,,,,,,NBC 00111,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00112,Deer feeding,Denmark,,,,,,,,,,,NBC 00112,Deer feeding station near old CFB building in Hørsholm,Hørsholm / CFB,"55 52' 17"" N,  12 29' 39"" E",2016-08-26,Pep Charusanti,,
NBC 00113b,Colton Hill,Scotland,white,flat/smooth,unsure,reduced ZOI,12/5/2016,,,,,,NBC 00113b,Colton Hill,Edinburgh,"55,954368 N, -3,184821 W",2016-08-19,Kai Blin,,
NBC 00114,Colton Hill,Scotland,brown & white,wrinkly,No,No,,,,,,,NBC 00114,Colton Hill,Edinburgh,"55,954368 N, -3,184821 W",2016-08-19,Kai Blin,,
NBC 00115,Helsinki cathedral,Finland,white,bumpy,reduced ZOI,reduced ZOI,,,,,,,NBC 00115,At base of Helsinki cathedral,Helsinki,,2016-09,Pep Charusanti,,
NBC 00116,Joao garden,Portugal,"write ring, red interior",flat,No,No,,,,,,Looks like S. coelicolor,NBC 00116,Joao's garden,Portugal,,"Week 34, 2016",Joao Cardoso,,
NBC 00117,Birkd farm,Denmark,red / brown,bumpy,No,No,,,,,,Duplicate.  Mr. everywhere,NBC 00117,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00118,Birkd farm,Denmark,red / brown,bumpy,No,No,,,,,,Duplicate.  Mr. everywhere,NBC 00118,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00119,Birkd farm,Denmark,orange / brown,wrinkly,No,No,,,,,,,NBC 00119,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00120,Birkd farm,Denmark,orange/red,flat,No,No,,Yes,,,,Duplicate.  Mr. everywhere,NBC 00120,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00121,Birkd farm,Denmark,"tan ring, white interior",flat,No,No,,,,,,,NBC 00121,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00122,Birkd farm,Denmark,brown,wrinkly,reduced ZOI,No,,Yes,Yes,,,,NBC 00122,Nex to farm while riding home from Hørsholm,Birkerød,"55 52' 14"" N,  12 28' 26"" E",2016-08-26,Pep Charusanti,,
NBC 00123,Helsinki cathedral,Finland,"yellow outer ring, white center",flat,2 mm,5 mm,,,,,,,NBC 00123,At base of Helsinki cathedral,Helsinki,,2016-09,Pep Charusanti,,
